FixedFormatFile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"怪物ID，（定义规则：NXXXYYZZZ；  N为大类，1测试；2地图怪物，3副本怪物，4NPC，5功能型；XXX为所在地图ID；  YY为子类型，N=2,3时，00为小怪，02为首领；N=4时，应为00；N=5时，01表示传送；   ZZZ为编号）",怪物名（可不填，仅为方便脚本配置人员了解是哪个怪物）,怪物模型资源名字，字符串，用于显示,模型厚度比例x,模型身高比例y,模型宽度比例z,模型颜色红色,模型颜色绿色,模型颜色蓝色,模型透明度,怪物头像图片资源名字，字符串,调色板ID（造型相同的怪物颜色不同）,AI信息的ID,"类型, 10：一般怪物，11：不可被攻击的怪物",怪物的种族,怪物的派别,不填为小怪；2为头领；3为稀有；4为护卫；5为BOSS；6为BBOSS头领；7为囚笼；,是否被过滤,怪物的等级,阵营（0：全门派友善； 123：对应门派ID，与本门派友善，与其它门派敌对； 11；全门派敌对）， 注：玩家和玩家召唤的宠物的静态阵营ID都是其所属门派ID,能否被选中，0：表示可以被选中，1：表示不能被选中,为1表示可以对话,怪物的视野，单位：米,为1表示不接受事件,怪物被杀死后，玩家获得的金钱，绑定,怪物可被攻击的半径，用于建筑等体积巨大的物件,怪物占位的半径：单位：分米,为1表示生物无占位,相对回归半径,绝对回归半径,时间回归，单位：毫秒,为1表示回归时不回血,基本移动速度，单位：x毫秒/米,基础攻击速度，单位：x毫秒/次,怪物的奖励归属类型，1：最后的攻击者拥有奖励，2：第一个攻击者拥有奖励，3：持续攻击者拥有奖励，4：指定奖励拥有者，5：最后的玩家攻击者拥有奖励（宠物、召唤兽等杀死不算），6：按伤害比例进行计算怪物归属，7：队伍分配时随机选择队员获得奖励,怪物掉落ID的集合，形如：ID1+ID2+ID3,技能索引集合，形如：Index1+Index2+Index3,对应技能使用概率的集合，千分比，形如：Prob1+Prob2+Prob3,怪物属性，配合技能使用,怪物出生动画光效,功能集(1、任务 2、传送 3、任务 8、商店 10、寄售 20、法宝炼制 40、法宝经验 80、法宝替换 100、排行版 200、激活码信息),每个功能对应的功能ID,怪物势力,性别(1男，2女),AI跟踪,怪物称号,头顶图片,骑乘动画（坐骑专用）,移动动画（坐骑专用）,休闲动画（坐骑专用）,属性计算公式类型ID，10000001是幻兽公式,对应采集物ID,魂数量，搜魂灯使用,特殊死亡动画机率(1000分制),特殊死亡动画,荣誉点,是否不消耗亲朋金币(1表示不消耗，0表示消耗亲朋币),击杀率下限(1-1000),击杀率上限(1-1000),免伤率
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303000012,魔眼守卫,MST_41_YPJ_02.eqs,150,150,150,,,,,,,312,10,,,1,,60,11,,,12,,,,5,,102,100,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,848,,,,,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010017,魔眼精英,MST_41_YPJ_03.eqs,220,220,220,,,,,,,312,10,,,5,,60,11,,,12,,,,5,,52,50,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,849,,,,,20,,,,5
304010018,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,受伤的,,,,,873,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010019,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,,,,,,874,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010020,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,勇猛的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010021,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,0,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,失神的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010023,魔眼精英,MST_41_YPJ_03.eqs,220,220,220,,,,,,,312,10,,,5,,60,11,,,12,,,,5,,52,50,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,849,,,,,20,,,,5
304010024,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,受伤的,,,,,873,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010025,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,,,,,,874,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010026,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,勇猛的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010027,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,0,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,失神的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010029,魔眼精英,MST_41_YPJ_03.eqs,220,220,220,,,,,,,312,10,,,5,,60,11,,,12,,,,5,,52,50,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,849,,,,,20,,,,5
304010030,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,受伤的,,,,,873,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010031,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,,,,,,874,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010032,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,勇猛的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010033,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,0,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,失神的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010035,魔眼精英,MST_41_YPJ_03.eqs,220,220,220,,,,,,,312,10,,,5,,60,11,,,12,,,,5,,52,50,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,849,,,,,20,,,,5
304010036,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,受伤的,,,,,873,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010037,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,,,,,,874,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010038,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,勇猛的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010039,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,0,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,失神的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010041,魔眼精英,MST_41_YPJ_03.eqs,220,220,220,,,,,,,312,10,,,5,,60,11,,,12,,,,5,,52,50,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,849,,,,,20,,,,5
304010042,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,受伤的,,,,,873,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010043,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,,,,,,874,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010044,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,316,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,勇猛的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
304010045,降魔勇士,yinwanchou.eqs,150,150,150,,,,,,,0,10,,,2,,60,0,,,12,,,,5,,14,16,,,400,1000,3,,4,1000,,TongYongGuaiWu_ChuXian_01,,,未知势力,,,失神的,,,,,875,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304010047,魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010048,一转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010049,二转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010050,三转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010051,四转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010052,五转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010053,六转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010054,七转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010055,八转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
304010056,九转·魔眼,boss_moyan.eqs,180,180,180,,,,,,,323,10,,,6,,60,11,,,15,,,,5,,20,22,,,700,2000,3,,601,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,850,,,,,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210900150,剔骨恶灵,sgxy_02.eqs,200,200,200,,,,,,,318,10,,,1,,60,11,,,20,1,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,一代,,,,,851,,,,,20,,,,5
210900151,食心恶灵,sgxy_03.eqs,200,200,200,,,,,,,318,10,,,1,,60,11,,,20,1,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,二代,,,,,851,,,,,20,,,,5
210900152,吞魂恶灵,sgxy_04.eqs,200,200,200,,,,,,,318,10,,,1,,60,11,,,20,,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,三代,,,,,851,,,,,20,,,,5
210900153,天蛛,MST_82_JZZJ_01.eqs,200,200,200,,,,,,,318,10,,,5,,60,11,,,20,,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,三代,,,,,852,,,,,20,,,,5
210900154,魔蛛,MST_82_JZZJ_02.eqs,200,200,200,,,,,,,318,10,,,5,,60,11,,,20,1,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,二代,,,,,852,,,,,20,,,,5
210900155,恶蛛,MST_82_JZZJ_03.eqs,200,200,200,,,,,,,318,10,,,5,,60,11,,,20,1,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,一代,,,,,852,,,,,20,,,,5
210900156,触龙,MST_82_JZZJ_03.eqs,200,200,200,,,,,,,318,10,,,1,,60,11,,,20,,,,10,,100,102,,,700,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,705,,,,,20,,,,5
210900157,天雷塔,obj_Commom_chuansongmen00.eqs,100,100,100,,,,,,,310,11,,,4,,250,0,,,10,,,,10,,100,100,,,400,2000,3,,504+508,600+400,,TongYongGuaiWu_ChuXian_01,,,宗门,,,天雷塔,,,,,300,,,900,TY_oth_baozha_2_siwang,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210900158,天玄守卫,tianxuanzong_nan.eqs,180,180,180,,,,,,,312,10,,,4,,200,1,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
210900159,天玄守卫,tianxuanzong_nv.eqs,180,180,180,,,,,,,312,10,,,4,,200,1,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
210900160,混元守卫,hunyuanjiao_nan.eqs,180,180,180,,,,,,,312,10,,,4,,200,2,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
210900161,混元守卫,hunyuanjiao_nv.eqs,180,180,180,,,,,,,312,10,,,4,,200,2,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
210900162,皇极守卫,huangjidian_nan.eqs,180,180,180,,,,,,,312,10,,,4,,200,3,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
210900163,皇极守卫,huangjidian_nv.eqs,180,180,180,,,,,,,312,10,,,4,,200,3,,,15,,,,5,,20,20,,,300,2000,3,,5,1000,,TongYongGuaiWu_ChuXian_01,,,雪龙峰,,,,,,,,893,,,,,20,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210900164,1,bahuangjijia.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900165,2,bishuiqilin.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900166,3,boss_qiongqi.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900167,4,boss_suohun.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900168,5,boss_tianzhishaozhu.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900169,6,boss_yeyumozun.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900170,7,boss_yinguo.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900171,8,boss_zuiezhijian.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900172,9,chiyouzhanhun.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900173,10,jiutouchulong.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900174,11,jiuweihuyao.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900175,12,jiuweiyaohu.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900176,13,jiuweiyaohu_bingxue.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900177,14,lianyumozun.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900178,15,shashenhuanying.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900179,16,yanyanmoshou.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900180,17,zhumang.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900181,18,mb_cui_01.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900182,19,HJ01.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900183,20,HJ03.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900184,21,HJ02.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900185,22,lianyumojiang.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900186,23,liuermihou.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900187,24,sgxy_01.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900188,25,sgxy_02.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900189,26,sgxy_03.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900190,27,sgxy_04.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900191,28,siwangruchong01.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900192,29,siwangruchong02.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900193,30,siwangruchong03.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900194,31,yaohu_erwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900195,32,yaohu_liuwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900196,33,yaohu_qiwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900197,34,yaohu_sanwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900198,35,yaohu_siwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900199,36,yaohu_wuwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900200,37,yaohu_yiwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900201,38,zhaohuanlong.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900202,39,zhaohuanlong02.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900203,40,zhaohuanlong03.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900204,41,dashijie.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900205,42,dashixiong.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900206,43,dazhangmen.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900207,44,huangjidian_nan.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900208,45,huangjidian_nv.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900209,46,huanshendunwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900210,47,huanshenqiangwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900211,48,hunyuanjiao_nan.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900212,49,hunyuanjiao_nv.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900213,50,leidashi.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900214,51,litian.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900215,52,nezha.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
210900216,53,shenyuanjinwei.eqs,100,100,100,,,,,,,0,11,,,2,,1,0,,,0,,,,1,,5,5,,,112,56,,,,,,,,,雪龙峰,,,测试,,,,,705,,,,,20,,,,5
